"","n","k","runtime"
"1",1,1,0.379999999999654
"2",20001,1,55.067
"3",40001,1,32.8830000000003
"4",60001,1,7.24499999999989
"5",80001,1,4.60299999999961
"6",100001,1,1.10300000000007
"7",120001,1,2.09999999999991
"8",140001,1,1.32000000000016
"9",160001,1,8.07400000000007
"10",180001,1,3.80199999999968
"11",200001,1,5.00900000000001
"12",220001,1,2.38099999999986
"13",240001,1,0.903999999999996
"14",260001,1,3.02600000000029
"15",280001,1,1.18900000000031
"16",300001,1,1.26000000000022
"17",320001,1,1.78200000000015
"18",340001,1,1.54999999999973
"19",360001,1,1.41300000000001
"20",380001,1,6.9380000000001
"21",400001,1,3.90700000000015
"22",420001,1,1.92200000000003
"23",440001,1,10.5699999999997
"24",460001,1,5.4670000000001
"25",480001,1,9.99000000000024
"26",500001,1,3.51899999999978
"27",520001,1,4.4380000000001
"28",540001,1,3.52099999999973
"29",560001,1,4.33000000000038
"30",580001,1,14.875
"31",600001,1,4.2510000000002
"32",620001,1,15.4389999999999
"33",640001,1,9.58500000000004
"34",660001,1,2.20500000000038
"35",680001,1,4.28700000000026
"36",700001,1,4.23400000000038
"37",720001,1,1.96499999999969
"38",740001,1,5.11700000000019
"39",760001,1,2.60300000000007
"40",780001,1,4.57499999999982
"41",800001,1,9.29999999999973
"42",820001,1,2.29999999999973
"43",840001,1,3.79300000000012
"44",860001,1,4.94100000000026
"45",880001,1,4.01600000000008
"46",900001,1,8.59699999999975
"47",920001,1,2.41800000000012
"48",940001,1,4.48000000000002
"49",960001,1,2.95400000000018
"50",980001,1,3.01999999999998
"51",1000001,1,4.51900000000023
"52",1020001,1,5.61400000000003
"53",1040001,1,3.4699999999998
"54",1060001,1,6.40000000000009
"55",1080001,1,5.34100000000035
"56",1100001,1,5.70399999999972
"57",1120001,1,5.54500000000007
"58",1140001,1,4.6569999999997
"59",1160001,1,3.99000000000024
"60",1180001,1,10.5529999999999
"61",1200001,1,9.41899999999987
"62",1220001,1,8.52399999999989
"63",1240001,1,9.90599999999995
"64",1260001,1,3.93200000000024
"65",1280001,1,6.2140000000004
"66",1300001,1,4.6579999999999
"67",1320001,1,9.36699999999973
"68",1340001,1,10.5949999999998
"69",1360001,1,5.1260000000002
"70",1380001,1,4.3420000000001
"71",1400001,1,9.05200000000013
"72",1420001,1,8.02599999999984
"73",1440001,1,7.41899999999987
"74",1460001,1,5.64400000000023
"75",1480001,1,7.40700000000015
"76",1500001,1,5.60500000000002
"77",1520001,1,7.11099999999988
"78",1540001,1,9.37300000000005
"79",1560001,1,39.855
"80",1580001,1,8.08699999999999
"81",1600001,1,6.9670000000001
"82",1620001,1,7.15200000000004
"83",1640001,1,6.37599999999975
"84",1660001,1,5.9689999999996
"85",1680001,1,7.05400000000009
"86",1700001,1,5.01999999999998
"87",1720001,1,6.90000000000009
"88",1740001,1,7.06500000000005
"89",1760001,1,7.45800000000008
"90",1780001,1,9.00699999999961
"91",1800001,1,7.8449999999998
"92",1820001,1,6.64600000000019
"93",1840001,1,7.51700000000028
"94",1860001,1,5.67900000000009
"95",1880001,1,8.21599999999989
"96",1900001,1,5.87800000000016
"97",1920001,1,20.2660000000001
"98",1940001,1,24.8809999999999
"99",1960001,1,14.3789999999999
"100",1980001,1,18.8920000000003
"101",2000001,1,16.2040000000002
"102",2020001,1,13.8390000000004
"103",2040001,1,11.9850000000001
"104",2060001,1,10.4200000000001
"105",2080001,1,13.761
"106",2100001,1,10.0920000000001
"107",2120001,1,13.9430000000002
"108",2140001,1,10.5700000000002
"109",2160001,1,8.60500000000002
"110",2180001,1,8.58199999999988
"111",2200001,1,9.2829999999999
"112",2220001,1,9.27200000000039
"113",2240001,1,9.41300000000001
"114",2260001,1,6.99299999999994
"115",2280001,1,9.39300000000003
"116",2300001,1,13.2629999999999
"117",2320001,1,8.76999999999998
"118",2340001,1,7.43899999999985
"119",2360001,1,9.85800000000017
"120",2380001,1,8.74800000000005
"121",2400001,1,8.67500000000018
"122",2420001,1,9.67000000000007
"123",2440001,1,9.57799999999997
"124",2460001,1,7.3449999999998
"125",2480001,1,8.625
"126",2500001,1,16.2309999999998
"127",2520001,1,15.991
"128",2540001,1,13.5999999999999
"129",2560001,1,35.0050000000001
"130",2580001,1,27.4409999999998
"131",2600001,1,21.3899999999999
"132",2620001,1,23.5160000000001
"133",2640001,1,17.4000000000001
"134",2660001,1,15.509
"135",2680001,1,14.6489999999999
"136",2700001,1,14.1499999999996
"137",2720001,1,15.8240000000001
"138",2740001,1,17.922
"139",2760001,1,16.7000000000003
"140",2780001,1,13.2060000000001
"141",2800001,1,23.585
"142",2820001,1,20.2840000000001
"143",2840001,1,10.3650000000002
"144",2860001,1,11.7619999999997
"145",2880001,1,9.76700000000028
"146",1,2001,1.13800000000037
"147",20001,2001,2.4050000000002
"148",40001,2001,3.62599999999975
"149",60001,2001,5.52499999999964
"150",80001,2001,2.28200000000015
"151",100001,2001,2.85399999999981
"152",120001,2001,1.33699999999999
"153",140001,2001,1.61700000000019
"154",160001,2001,0.766999999999825
"155",180001,2001,7.04700000000003
"156",200001,2001,2.59900000000016
"157",220001,2001,2.57899999999972
"158",240001,2001,4.60500000000002
"159",260001,2001,9.09700000000021
"160",280001,2001,1.6880000000001
"161",300001,2001,1.4369999999999
"162",320001,2001,2.01600000000008
"163",340001,2001,3.86899999999969
"164",360001,2001,1.65200000000004
"165",380001,2001,0.87900000000036
"166",400001,2001,2.48900000000003
"167",420001,2001,4.32499999999982
"168",440001,2001,1.07799999999997
"169",460001,2001,2.02399999999989
"170",480001,2001,2.79400000000032
"171",500001,2001,2.21299999999974
"172",520001,2001,1.98300000000017
"173",540001,2001,3.89300000000003
"174",560001,2001,2.029
"175",580001,2001,2.76000000000022
"176",600001,2001,3.88000000000011
"177",620001,2001,2.25599999999986
"178",640001,2001,2.98000000000002
"179",660001,2001,1.64600000000019
"180",680001,2001,2.29099999999971
"181",700001,2001,3.26499999999987
"182",720001,2001,2.20000000000027
"183",740001,2001,3.67399999999998
"184",760001,2001,6.32400000000007
"185",780001,2001,2.03300000000036
"186",800001,2001,3.48599999999988
"187",820001,2001,4.92799999999988
"188",840001,2001,3.8449999999998
"189",860001,2001,9.29899999999998
"190",880001,2001,4.48599999999988
"191",900001,2001,7.2819999999997
"192",920001,2001,12.136
